nom_complet_taxon_referentiel;nom_valide
Veronica austriaca subsp. dubia (Chaix ex Lapeyr.) Kerguélen, 1993;Veronica orsiniana Ten., 1830
Veronica austriaca subsp. pseudochamaedrys (Jacq.) Kerguélen, 1993;Veronica teucrium L., 1762
Veronica austriaca subsp. teucrium (L.) D.A.Webb, 1972;Veronica teucrium L., 1762
Veronica beccabunga L. subsp. beccabunga;Veronica beccabunga subsp. beccabunga 
Veronica cymbalaria subsp. panormitana (Tineo ex Guss.) Nyman, 1881;Veronica panormitana Tineo ex Guss., 1832
Veronica hederifolia subsp. lucorum (Klett & Richt.) Hartl, 1968;Veronica sublobata M.Fisch., 1967
Veronica hederifolia subsp. triloba (Opiz) Celak., 1871;Veronica triloba (Opiz) A.Kern., 1896
Veronica jacquinii Baumg., 1816;Veronica jacquini Baumg., 1816
Veronica prostrata L. subsp. prostrata;Veronica prostrata L., 1762
Veronica prostrata subsp. scheereri J.-P.Brandt, 1969;Veronica scheereri (J.-P.Brandt) Holub, 1973
Viburnum farreri Stearn;Viburnum farreri Stearn, 1966
Vicia cracca L. subsp. cracca;Vicia cracca L., 1753
Vicia cracca subsp. incana (Burnat) Rouy, 1899;Vicia incana Gouan, 1764
Vicia pannonica Crantz subsp. pannonica;Vicia pannonica var. pannonica 
Vicia pannonica subsp. striata (M.Bieb.) Nyman, 1878;Vicia pannonica var. purpurascens (DC.) Ser., 1825
Vicia sativa subsp. amphicarpa (Boiss.) Batt., 1889;Vicia amphicarpa L., 1763
Vicia sativa subsp. macrocarpa (Moris) Arcang., 1882;Vicia macrocarpa (Moris) Bertol., 1850
Vicia sativa subsp. nigra (L.) Ehrh., 1780;Vicia angustifolia L., 1759
Vicia sativa subsp. sallei (Timb.-Lagr.) Kerguélen, 1994;Vicia segetalis Thuill., 1799
Vicia sativa subsp. segetalis (Thuill.) Celak., 1875;Vicia segetalis Thuill., 1799
Vicia tenuifolia Roth subsp. tenuifolia;Vicia tenuifolia Roth, 1788
Vicia tenuifolia subsp. dalmatica (A.Kern.) Asch. & Graebn., 1909;Vicia dalmatica A.Kern., 1886
Vicia tetrasperma (L.) Schreb. subsp. tetrasperma;Vicia tetrasperma (L.) Schreb., 1771
Vicia tetrasperma subsp. gracilis (Lois.) Hook.f., 1870;Vicia parviflora Cav., 1801
Vicia villosa Roth subsp. villosa;Vicia villosa Roth, 1793
Vicia villosa subsp. ambigua (Guss.) Kerguélen, 1987;Vicia pseudocracca Bertol., 1810
Vicia villosa subsp. elegantissima (Shuttlew. ex Rouy) G.Bosc & Kerguélen, 1987;Vicia elegantissima Shuttlew. ex Rouy, 1883
Vicia villosa subsp. eriocarpa (Hausskn.) P.W.Ball, 1968;Vicia eriocarpa (Hausskn.) Halácsy, 1900
Vicia villosa subsp. varia (Host) Corb., 1894;Vicia dasycarpa Ten., 1829
Viola calaminaria (Ging.) Lej., 1824;Viola lutea subsp. calaminaria (Ging.) Nauenb., 1986
Viola obliqua Hill;Viola cucullata Aiton, 1789
Viola palustris L. subsp. palustris;Viola palustris L., 1753
Viola palustris subsp. juressii (Link ex Wein) Cout., 1921;Viola palustris L., 1753
Viola riviniana Rchb. subsp. riviniana;Viola riviniana f. riviniana 
Viola riviniana subsp. minor (Murb. ex Greg.) Valentine, 1941;Viola riviniana f. minor Murb. ex Greg.
Viola rupestris F.W.Schmidt subsp. rupestris;Viola rupestris F.W.Schmidt, 1791
Viola saxatilis F.W.Schmidt, 1794;Viola tricolor subsp. saxatilis (F.W.Schmidt) Arcang., 1882
Viola saxatilis F.W.Schmidt subsp. saxatilis;Viola tricolor subsp. saxatilis (F.W.Schmidt) Arcang., 1882
Viola saxatilis subsp. curtisii (E.Forst.) Kirschner & Skalicky, 1989;Viola tricolor subsp. curtisii (E.Forst.) Syme, 1864
Viola x pluricaulis Borbás, 1890;Viola x multicaulis Jord., 1852
Viola x vivariensis Jord., 1846;Viola tricolor subsp. saxatilis (F.W.Schmidt) Arcang., 1882
Vulpia myuros (L.) C.C.Gmel. subsp. myuros;Vulpia myuros (L.) C.C.Gmel., 1805
Vulpia myuros subsp. longiaristata (Willk.) Hayek;Vulpia muralis (Kunth) Nees, 1843
Vulpia myuros subsp. sciuroides (Roth) Rouy;Vulpia bromoides (L.) Gray, 1821
Vulpia myuros var. megalura (Nutt.) Auquier, 1977;Vulpia myuros f. megalura (Nutt.) Stace & Cotton, 1976
Vulpia myuros var. myuros ;Vulpia myuros f. myuros 
Vulpiella tenuis (Tineo) Kerguélen, 1977;Vulpiella stipoides (L.) Maire, 1942
Wahlenbergia Roth, 1821;Wahlenbergia Schrad. ex Roth, 1821
Wolffia Schleid., 1844;Wolffia Horkel ex Schleid., 1844
X Anacamptorchis bassoulsii (Balayer) B.Bock;x Anacamptorchis bassoulsii (Balayer) B.Bock, 2012
X Anacamptorchis bonnieriana (E.G.Camus ex Fourcy) B.Bock;x Anacamptorchis bonnieriana (E.G.Camus ex Fourcy) B.Bock, 2012
X Anacamptorchis celtiberica (Pau) B.Bock;x Anacamptorchis celtiberica (Pau) B.Bock, 2012
X Anacamptorchis lauzensis (Balayer) B.Bock;x Anacamptorchis lauzensis (Balayer) B.Bock, 2012
X Anacamptorchis morioides (Brand) Stace, 2009;x Anacamptorchis morioides (Brand) Stace, 2009
X Anacamptorchis perretii (K.Richt.) B.Bock;x Anacamptorchis perretii (K.Richt.) B.Bock, 2012
Xanthium saccharatum Wallr., 1842;Xanthium orientale subsp. saccharatum (Wallr.) B.Bock, 2012
x Crataegomespilus grandiflora (Sm.) Bean, 1914;Crataegus x lobata (Poir.) Bosc, 1821
x Cupressocyparis;Cupressus L., 1753
x Cuprocyparis leylandii (A.B.Jacks. & Dallim.) Farjon & Hiep, 2002;Cupressus x leylandii A.B.Jacks. & Dallim., 1926
X Dactylocamptis arbostii (E.G.Camus) B.Bock;x Dactylocamptis arbostii (E.G.Camus) B.Bock, 2012
X Dactylocamptis boudieri (E.G.Camus) B.Bock;x Dactylocamptis boudieri (E.G.Camus) B.Bock, 2012
X Dactylocamptis chassagnei (Alleiz.) B.Bock;x Dactylocamptis chassagnei (Alleiz.) B.Bock, 2012
X Dactylocamptis leguei (E.G.Camus) B.Bock;x Dactylocamptis leguei (E.G.Camus) B.Bock, 2012
X Dactylocamptis luciae (Royer) B.Bock;x Dactylocamptis luciae (Royer) B.Bock, 2012
X Dactylocamptis rouyana (E.G.Camus) B.Bock;x Dactylocamptis rouyana (E.G.Camus) B.Bock, 2012
X Dactylocamptis timbaliana (E.G.Camus) B.Bock;x Dactylocamptis timbaliana (E.G.Camus) B.Bock, 2012
X Dactylocamptis valonii (Rouy) B.Bock;x Dactylocamptis valonii (Rouy) B.Bock, 2012
x Festulolium;x Schedolium 
x Festulolium braunii (K.Richt.) A.Camus, 1927;x Schedolium braunii (K.Richt.) Stace, 2009
x Festulolium brinckmannii (A.Braun) Asch. & Graebn., 1902;x Schedolium brinckmannii (A.Braun) Holub, 1998
x Festulolium holmbergii (Dörfl.) P.Fourn., 1934;x Schedolium holmbergii (Dörfl.) Holub, 1998
x Festulolium loliaceum (Huds.) P.Fourn., 1934;x Schedolium loliaceum (Huds.) Holub, 1998
x Giflifa mixta (Holuby) Chrtek & Holub, 1963;Filago x mixta Holuby, 1871
X Gymnacamptis evequei (L.C.Lamb.) B.Bock;x Gymnanacamptis evequei (L.C.Lamb.) B.Bock, 2012
x Leontoroides x kaiseri (J.Murray) B.Bock;x Leontoroides kaiseri (Murr) B.Bock, 2012
x Rhizanthera chevallieriana (A.Camus) Soó, 1966;x Dactylanthera chevallieriana (E.G.Camus) J.M.H.Shaw, 2005
x Rhizanthera martysiensis Balayer, 1986;x Dactylanthera martysiensis (Balayer) J.M.H.Shaw, 2005
x Rhizanthera somersetensis (E.G.Camus) Soó, 1966;x Dactylanthera somersetensis (E.G.Camus) B.Bock, 2012
Zinnia haageana Regel;Zinnia haageana Regel, 1861
Zinnia L.;Zinnia L., 1759
Ziziphus lotus (L.) Lam.;Ziziphus lotus (L.) Lam., 1789
Ziziphus zizyphus (L.) Meikle, 1977;Ziziphus jujuba Mill., 1768
Zostera angustifolia (Hornem.) Rchb., 1844;Zostera marina var. angustifolia Hornem., 1820
Zostera noltii Hornem., 1832;Zostera noltei Hornem., 1832
